Date,Open,High,Low,Close,Adj Close,Volume
2008-06-01,null,null,null,null,null,null
2008-07-01,260.050049,278.118103,233.033035,237.112106,237.112106,207962700
2008-08-01,236.491486,255.585587,231.181183,231.876877,231.876877,137490300
2008-09-01,238.623627,241.331329,190.545547,200.460464,200.460464,267887800
2008-10-01,205.780777,208.698700,154.874878,179.859863,179.859863,398191400
2008-11-01,178.968964,186.366364,123.773773,146.626633,146.626633,315749100
2008-12-01,143.483490,164.914917,131.421417,153.978973,153.978973,225787700
2009-01-01,154.454453,176.341339,141.516510,169.434433,169.434433,219542700
2009-02-01,167.312317,190.690689,164.939941,169.164169,169.164169,222946400
2009-03-01,166.831833,179.759766,144.869873,174.204208,174.204208,227721500
2009-04-01,172.062057,202.077072,170.475479,198.183182,198.183182,175489100
2009-05-01,197.712708,208.823822,192.537537,208.823822,208.823822,113955500
2009-06-01,209.574570,223.893890,201.146149,211.006012,211.006012,140780100
2009-07-01,212.312317,226.576584,198.188187,221.746750,221.746750,145887200
2009-08-01,224.594589,237.412415,219.499496,231.066071,231.066071,97378800
2009-09-01,230.070068,253.753754,226.521515,248.173172,248.173172,102056300
2009-10-01,246.746750,281.101105,241.541534,268.328339,268.328339,154193500
2009-11-01,268.808807,293.823822,264.384399,291.791779,291.791779,81729700
2009-12-01,294.359344,313.308319,289.879883,310.300293,310.300293,85154200
2010-01-01,313.788788,315.070068,263.068054,265.235229,265.235229,178021600
2010-02-01,267.567566,274.024017,260.260254,263.663666,263.663666,103963600
2010-03-01,264.864868,294.434448,264.134125,283.843842,283.843842,167380600
2010-04-01,285.960968,299.219208,260.775787,263.113098,263.113098,145974700
2010-05-01,263.513519,266.726715,230.230225,243.058060,243.058060,162958300
2010-06-01,240.455460,254.879883,222.582581,222.697693,222.697693,119605600
2010-07-01,222.867874,248.998993,217.032028,242.667664,242.667664,138480300
2010-08-01,244.739746,254.554550,224.049042,225.235229,225.235229,105603500
2010-09-01,227.717712,268.693695,226.476471,263.158173,263.158173,119281400
2010-10-01,265.265259,312.682678,259.684692,307.157166,307.157166,158536000
2010-11-01,308.173187,315.740753,276.931946,278.133148,278.133148,116766000
2010-12-01,281.781769,303.803802,281.481476,297.282288,297.282288,84484800
2011-01-01,298.538544,321.801788,298.073059,300.480469,300.480469,119847800
2011-02-01,302.547546,315.905914,300.975983,307.007019,307.007019,83653600
2011-03-01,309.199188,309.919922,275.915924,293.673676,293.673676,120156600
2011-04-01,294.674683,297.892883,259.759766,272.322327,272.322327,140342000
2011-05-01,273.123108,273.138153,256.956970,264.774780,264.774780,90564200
2011-06-01,264.284271,266.866852,236.746750,253.443451,253.443451,118130800
2011-07-01,253.623627,314.064056,253.443451,302.147156,302.147156,161948200
2011-08-01,305.915924,308.058044,245.675674,270.750763,270.750763,213336700
2011-09-01,270.645660,279.539551,255.505508,257.777771,257.777771,117140800
2011-10-01,255.180176,301.651642,240.540543,296.616608,296.616608,154275400
2011-11-01,290.340332,309.459473,280.945953,299.994995,299.994995,120479300
2011-12-01,300.300293,323.703705,299.799805,323.273285,323.273285,109983800
2012-01-01,326.796783,335.460449,282.557556,290.345337,290.345337,147136900
2012-02-01,292.762756,313.113098,289.859863,309.434448,309.434448,94633500
